persnum1,tcinpsty
1126,005000
1126,001400
1126,010300
1126,005600
1127,006600
1127,007700
1127,001600
1127,017500
1127,003100
1128,026600
1129,005500
1129,002600
1129,003300
1132,004700
1135,002000
1135,004800
1135,003200
1135,005000
1137,001200
1137,001300
1138,004500
1138,004500
1138,007400
1138,007600
1138,006500
1138,026400
1138,006000
1138,010300
1139,001200
1139,002400
1139,002700
1139,002200
1139,014000
1139,014200
1139,004800
1139,002000
1139,001800
1139,001900
1140,001800
1140,001800
1140,000900
1144,002400
1144,000400
1145,015200
1145,006400
1146,062900
1146,002700
1149,000700
1149,001600
1149,002100
1149,006300
1149,003000
1153,002300
1153,010000
1154,001000
1154,001400
1154,003800
1154,000400
1154,000600
1154,036100
1154,001300
1154,002400
1154,002800
1154,017300
1156,005800
